MJD	m	dm	uJy	duJy	F	err	chi/N	RA	Dec	x	y	maj	min	phi	apfit	mag5sig	Sky	Obs
59597.98919485	>18.264800760242363	0.0	107.50076609326933	59.754415195460886	o	>18.264800760242363	1.01	170.420820357143	20.1747992857143	9355.0	306.39	3.45	2.65	>18.264800760242363	-0.3547	17.66	186.6	03a59598o0431o
59597.99435805	>18.69	0.0	-2.8005376615936073	57.792913561977166	o	>18.69	0.97	170.420820357143	20.1747992857143	9412.81	413.75	3.2	2.5	>18.69	-0.3827	17.75	191.0	03a59598o0442o
59598.00420165	>18.83	0.0	-13.057779001482736	50.094388532961034	o	>18.83	1.3	170.420820357143	20.1747992857143	9440.97	353.11	3.2	2.39	>18.83	-0.3677	17.84	183.5	03a59598o0463o
59598.01729755	None	None	None	None	o	None	None	170.420820357143	20.1747992857143	None	None	None	None	None	-0.4157	18.05	None	03a59598o0491o
59598.02240875	None	None	None	None	o	None	None	170.420820357143	20.1747992857143	None	None	None	None	None	-0.3827	18.07	None	03a59598o0501o
59603.56152745	>19.667531062492642	0.0	17.407297888400766	16.466362867406133	o	>19.667531062492642	1.19	170.420820357143	20.1747992857143	1398.71	3719.58	2.62	2.37	>19.667531062492642	-0.4357	19.18	181.8	02a59603o0636o
59603.56439725	>20.17	0.0	5.402710777386407	15.417491730590477	o	>20.17	0.91	170.420820357143	20.1747992857143	1379.66	3682.55	2.42	2.16	>20.17	-0.4347	19.26	180.3	02a59603o0642o
59603.56983105	>20.16	0.0	-17.469793591147962	15.559034917116156	o	>20.16	1.23	170.420820357143	20.1747992857143	1439.91	3760.95	2.45	2.22	>20.16	-0.4297	19.22	181.1	02a59603o0653o
59603.60502105	>20.16	0.0	2.9263280594208596	15.607082983577914	o	>20.16	1.2	170.420820357143	20.1747992857143	1453.36	3643.62	2.47	2.24	>20.16	-0.4317	19.21	182.0	02a59603o0725o
59605.50351785	>19.64	0.0	7.061485650646542	26.2844188107399	o	>19.64	1.1	170.420820357143	20.1747992857143	2619.79	8322.69	2.76	2.63	>19.64	-0.4827	18.27	188.7	01a59605o0652o
59605.50629085	>18.616745731594204	0.0	97.5987115779703	43.41347371193997	o	>18.616745731594204	0.99	170.420820357143	20.1747992857143	2602.3	8285.85	2.85	2.71	>18.616745731594204	-0.4567	18.52	206.2	01a59605o0658o
59605.51349125	>20.16	0.0	-7.560323393114612	15.916470301293922	o	>20.16	1.4	170.420820357143	20.1747992857143	2660.8	8360.6	2.96	2.81	>20.16	-0.4527	19.34	180.8	01a59605o0673o
59605.54165405	>19.43	0.0	28.638936206832557	30.917033405103325	o	>19.43	1.25	170.420820357143	20.1747992857143	2691.85	8235.1	2.79	2.67	>19.43	-0.4527	18.51	181.5	01a59605o0732o
59606.48669495	>19.645664310361827	0.0	19.374273443938517	16.74319927253946	o	>19.645664310361827	1.41	170.420820357143	20.1747992857143	2613.4	8321.64	2.87	2.59	>19.645664310361827	-0.4877	19.19	182.5	01a59606o0618o
59606.49002555	>20.17	0.0	-40.60290031238081	16.15384205976441	o	>20.17	0.92	170.420820357143	20.1747992857143	2594.52	8282.03	2.85	2.61	>20.17	-0.4817	19.26	180.9	01a59606o0625o
59606.49279925	>19.799780211447793	0.0	15.102921295314701	14.522039707033366	o	>19.799780211447793	1.12	170.420820357143	20.1747992857143	2653.77	8357.5	2.81	2.62	>19.799780211447793	-0.4727	19.36	181.1	01a59606o0631o
59606.49787555	>20.25	0.0	7.480959754362097	14.961919508724193	o	>20.25	0.97	170.420820357143	20.1747992857143	2673.95	8238.83	2.71	2.71	>20.25	-0.4787	19.4	181.4	01a59606o0642o
59607.48107055	>20.15	0.0	2.354618488660364	16.95325311835462	o	>20.15	1.28	170.420820357143	20.1747992857143	2609.74	8320.33	2.74	2.4	>20.15	-0.5117	19.23	181.5	01a59607o0605o
59607.48291425	>20.18	0.0	-25.131973717522577	16.45001916056023	o	>20.18	1.21	170.420820357143	20.1747992857143	2591.05	8281.61	2.76	2.45	>20.18	-0.5087	19.27	180.1	01a59607o0609o
59607.48567585	>20.36	0.0	3.9779124387829228	13.663264463645692	o	>20.36	1.09	170.420820357143	20.1747992857143	2650.26	8357.06	2.71	2.49	>20.36	-0.4907	19.47	181.6	01a59607o0615o
59607.49114825	>20.42	0.0	-34.35889259520219	13.032683398180144	o	>20.42	1.29	170.420820357143	20.1747992857143	2674.85	8241.24	2.75	2.48	>20.42	-0.4957	19.5	181.3	01a59607o0626o
59609.48238225	>20.53	0.0	-19.57796543030706	11.23325885345487	o	>20.53	1.21	170.420820357143	20.1747992857143	9184.53	6841.5	2.18	1.92	>20.53	-0.4477	19.64	182.2	02a59609o0601o
59609.48472875	>20.47	0.0	-3.085567299052703	11.770867844534386	o	>20.47	1.28	170.420820357143	20.1747992857143	9204.08	6880.12	2.25	2.0	>20.47	-0.4417	19.6	181.2	02a59609o0606o
59609.48878355	>20.5	0.0	2.3766291301489733	11.451031263445053	o	>20.5	1.76	170.420820357143	20.1747992857143	9148.29	6798.58	2.2	1.93	>20.5	-0.4437	19.59	180.6	02a59609o0614o
59609.49761655	>20.41	0.0	-16.533111373768982	12.486545652916432	o	>20.41	1.1	170.420820357143	20.1747992857143	9131.23	6919.73	2.26	2.02	>20.41	-0.4397	19.58	182.2	02a59609o0633o
59610.56095535	>20.32	0.0	-6.5153761995994035	13.820494968847223	o	>20.32	1.37	170.420820357143	20.1747992857143	2965.11	6725.14	2.95	2.78	>20.32	-0.4627	19.42	180.5	01a59610o0775o
59610.56654895	>20.13	0.0	-4.903691711304909	16.476404149984496	o	>20.13	0.9	170.420820357143	20.1747992857143	2989.46	6763.99	2.96	2.75	>20.13	-0.4627	19.44	180.5	01a59610o0787o
59610.58811385	>20.27	0.0	-10.892469478960267	14.386280443909788	o	>20.27	0.92	170.420820357143	20.1747992857143	2942.94	6688.9	3.03	2.82	>20.27	-0.4587	19.39	180.5	01a59610o0832o
59610.59244045	19.56	0.25	54.266135455988895	14.364565267761767	o	19.56	1.08	170.420820357143	20.1747992857143	2928.82	6805.64	2.97	2.78	19.56	-0.4637	19.48	181.1	01a59610o0841o
59611.58181255	>20.03	0.0	-28.682528759444804	17.926580474653004	o	>20.03	1.17	170.420820357143	20.1747992857143	2982.24	6725.87	2.78	2.64	>20.03	-0.4587	19.24	180.6	01a59611o0234o
59611.58511895	>19.81	0.0	2.8618794220834487	21.941075569306438	o	>19.81	2.25	170.420820357143	20.1747992857143	3005.15	6764.44	2.79	2.65	>19.81	-0.4557	18.84	182.1	01a59611o0241o
59611.59067085	>20.02	0.0	1.3075775790225288	18.044570590510897	o	>20.02	1.33	170.420820357143	20.1747992857143	2949.27	6688.24	2.83	2.69	>20.02	-0.4577	19.06	182.0	01a59611o0253o
59612.48005015	>20.24	0.0	-21.511077044258784	15.25999482626905	o	>20.24	1.04	170.420820357143	20.1747992857143	7565.36	3874.39	2.89	2.58	>20.24	-0.4867	19.38	181.1	01a59612o0568o
59612.48331005	>20.34	0.0	4.520500075120585	13.742320228366578	o	>20.34	1.15	170.420820357143	20.1747992857143	7549.13	3837.97	2.83	2.62	>20.34	-0.4767	19.4	180.7	01a59612o0575o
