###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58098.516870  19.975  0.551    37   20 o  0   1.03 136.46285  -8.58543  3965.62 10470.34 2.36 2.01  31.6 -0.454 19.47 20.60 02a58098o0704o
58098.520132 -20.547  0.644   -22   14 o  0   1.17 136.46285  -8.58543  9910.11   865.70 2.89 2.08  50.8 -0.449 19.36 20.44 02a58098o0711o
58098.522529  20.435  0.649    24   16 o  0   0.98 136.46285  -8.58543   108.05   798.39 2.51 1.90  45.7 -0.612 19.46 20.51 02a58098o0716o
58098.523964  20.794  1.876    18   33 o  0   1.18 136.46285  -8.58543  3984.03 10511.13 2.33 1.91  30.4 -0.483 18.98 19.86 02a58098o0719o
58098.527248 -21.166  1.452   -12   18 o  0   1.11 136.46285  -8.58543  9851.58   788.76 2.88 2.02  49.7 -0.455 19.17 20.06 02a58098o0726o
58098.529627  20.243  0.690    29   20 o  0   1.74 136.46285  -8.58543   127.09   838.84 2.51 1.86  45.2 -0.584 18.93 19.78 02a58098o0731o
58098.531096  20.007  0.634    36   23 o  0   1.47 136.46285  -8.58543  3925.16 10434.08 2.30 1.88  30.6 -0.472 18.97 19.84 02a58098o0734o
58098.534529 -20.628  0.642   -20   13 o  0   2.14 136.46285  -8.58543  9828.76   907.46 2.73 1.99  49.3 -0.462 19.31 20.26 02a58098o0741o
58098.536824  20.918  1.442    16   22 o  0   1.29 136.46285  -8.58543    66.20   761.40 2.51 1.84  45.4 -0.579 19.20 20.10 02a58098o0746o
58098.543986 -20.115  1.352   -33   44 o  0   0.44 136.46285  -8.58543    45.77   880.83 2.44 1.91  45.2 -0.588 19.51 20.61 02a58098o0761o
58100.506252  21.620  1.275     8   10 o  0   1.30 136.46285  -8.58543  1887.16  8224.52 3.28 2.82 -88.1 -0.422 19.42 21.40 01a58100o0692o
58100.513382  21.318  1.233    11   13 o  0   1.07 136.46285  -8.58543  1865.37  8163.18 3.46 3.00 -87.5 -0.425 19.27 21.29 01a58100o0707o
58100.520456 -25.589 62.000    -0   13 o  0   0.93 136.46285  -8.58543  1940.89  8217.96 3.25 2.84 -88.1 -0.435 19.40 21.39 01a58100o0722o
58100.527662 -21.566  1.325    -9   11 o  0   1.01 136.46285  -8.58543  1957.67  8077.47 3.33 2.85 -89.4 -0.425 19.38 21.42 01a58100o0737o
58104.498033  24.213 19.667     1   15 o  0   1.09 136.46285  -8.58543   333.77  8686.16 3.68 3.20 -84.4 -0.387 19.13 20.88 01a58104o0045o
58104.506191  21.155  1.123    12   14 o  0   1.00 136.46285  -8.58543   311.97  8620.87 3.47 2.97 -82.0 -0.398 19.20 20.91 01a58104o0062o
58104.507598 -20.421  0.606   -25   15 o  0   1.20 136.46285  -8.58543 10098.38  8623.84 3.92 3.19 -85.6 -0.379 19.18 20.86 01a58104o0065o
58104.514297 -20.058  0.412   -34   14 o  0   0.96 136.46285  -8.58543   368.36  8672.47 3.54 3.12 -85.4 -0.389 19.17 20.93 01a58104o0079o
58104.515736 -21.242  1.370   -12   16 o  0   1.08 136.46285  -8.58543 10075.83  8556.19 3.93 3.06 -85.0 -0.376 19.20 20.90 01a58104o0082o
58104.522450 -20.322  0.531   -27   14 o  0   0.96 136.46285  -8.58543   386.50  8527.41 3.46 3.31  89.7 -0.382 19.22 20.95 01a58104o0096o
58104.523880 -21.337  1.227   -11   13 o  0   1.30 136.46285  -8.58543 10132.53  8606.54 3.83 3.04 -85.6 -0.372 19.27 20.91 01a58104o0099o
58104.532079 -21.249  1.368   -12   16 o  0   1.17 136.46285  -8.58543 10147.47  8460.97 4.03 3.79 -58.8 -0.329 19.10 20.98 01a58104o0116o
58110.486796  22.858  3.111     3    8 c  0   1.22 136.46285  -8.58543  9314.67  1961.85 2.73 2.59  85.9 -0.402 19.78 21.80 02a58110o0603c
58112.460218 -22.987  5.600    -2   13 o  0   1.17 136.46285  -8.58543   186.38  8717.93 3.75 2.95 -89.0 -0.391 19.34 21.25 01a58112o0576o
58112.467307  21.678  1.686     8   13 o  0   0.97 136.46285  -8.58543   164.73  8658.28 3.64 2.91 -86.6 -0.389 19.38 21.29 01a58112o0591o
58112.469625 -23.247  7.286    -2   13 o  0   1.24 136.46285  -8.58543  9952.45  8657.65 4.18 2.98 -83.6 -0.378 19.33 21.23 01a58112o0596o
58112.474323 -20.252  0.431   -29   12 o  0   1.31 136.46285  -8.58543   220.72  8715.13 3.74 2.97 -88.5 -0.391 19.33 21.29 01a58112o0606o
58112.476688 -20.578  0.675   -21   14 o  0   0.91 136.46285  -8.58543  9929.73  8596.82 4.14 2.96 -82.3 -0.381 19.35 21.26 01a58112o0611o
58112.481457  23.399  8.333     2   13 o  0   0.91 136.46285  -8.58543   237.74  8575.33 3.80 3.37  89.4 -0.368 19.25 21.34 01a58112o0621o
58112.483789 -21.781  1.792    -7   13 o  0   1.40 136.46285  -8.58543  9986.52  8652.59 4.41 3.23 -86.5 -0.367 19.29 21.30 01a58112o0626o
58112.490888 -23.376  8.500    -2   14 o  0   0.91 136.46285  -8.58543 10002.13  8512.07 4.19 3.13 -83.8 -0.367 19.32 21.36 01a58112o0641o
58116.473595 -19.971  0.448   -37   17 o  0   1.13 136.46285  -8.58543  2925.70  9201.12 3.46 2.84 -82.9 -0.440 18.98 20.27 01a58116o0573o
